Response,Baseline,TRANS,TRANS+ EMM,TRANS+ disability,TRANS+ intersex,TRANS+ gqnb,TRANS+ trans m,TRANS+ trans f,TRANS+ not het
Don’t know,0.15,0.18,0.2,0.04,0,0.13,0.38,0.07,0.19
Prefer not to say,0.09,0.19,0.09,0.24,0,0.28,0.07,0.18,0.21
With great difficulty,5.15,9.75,14.09,17.28,13.03,7.87,10.65,12.87,9.66
With difficulty,8.76,12.53,13.97,16.11,12.65,12.01,13.46,12.51,12.51
With some difficulty,22.88,25.69,27.97,28.44,26.67,25.47,26.5,26.17,25.97
Fairly easily,28.96,26.51,21.24,22.95,22.39,27.63,25.58,25,26.65
Easily,22.65,16.69,14.95,9.39,15.67,17.97,14.38,16,16.57
Very easily,11.36,8.46,7.49,5.56,9.6,8.64,8.96,7.2,8.24
